drug_name,manufacturer,approval_year,drug_class,indications,side_effects,dosage_mg,administration_route,contraindications,warnings,price_usd,batch_number,expiry_date,side_effect_severity,approval_status
Rivazole11,Sanofi,2014,Antifungal,Pain relief,Insomnia,960,Sublingual,Diabetes,Risk of addiction,253.78,VY323fs,2027-06-01,Severe,Pending
Loxoxetine86,Pfizer Inc.,1997,Antiviral,Bacterial infections,Insomnia,20,Rectal,Liver disease,Do not operate machinery,411.75,Bj090zz,2027-07-03,Moderate,Pending
Amoxparin87,Pfizer Inc.,1996,Antiviral,Viral infections,Rash,950,Oral,Bleeding disorders,Do not discontinue abruptly,290.68,OD804zI,2025-12-30,Mild,Pending
Cefmab41,Novartis AG,2018,Antidepressant,Depression treatment,"Insomnia, Blurred vision",100,Rectal,Asthma,Take with food,79.2,yg538kB,2028-02-27,Mild,Rejected
Seroprofen33,Moderna Therapeutics,2016,Antiviral,Inflammation reduction,"Nausea, Headache",400,Topical,Seizures,Monitor blood pressure,427.2,EI220iQ,2027-09-08,Moderate,Rejected
Zylozepam89,Moderna Therapeutics,2012,Antibiotic,Bacterial infections,"Constipation, Fatigue, Dizziness",430,Intramuscular,Heart disease,Risk of addiction,325.18,JD572ZP,2026-07-14,Moderate,Pending
Rivadipine71,GlaxoSmithKline,2000,Antibiotic,Inflammation reduction,Fatigue,690,Topical,Kidney impairment,Risk of addiction,450.93,wI853QP,2025-12-25,Mild,Pending
Daxocillin68,Novartis AG,2021,Vaccine,Fungal infections,"Rash, Insomnia, Diarrhea",480,Rectal,Asthma,Avoid sunlight exposure,222.26,GB442gr,2027-12-01,Mild,Approved
Viradipine34,Sanofi,2005,Antibiotic,Fungal infections,"Diarrhea, Fatigue",10,Inhalation,Liver disease,Monitor blood pressure,395.27,Al050uH,2028-07-16,Severe,Pending
Zyloparin86,Roche Holding AG,2006,Antihistamine,Fever reduction,"Rash, Fatigue",510,Intramuscular,Diabetes,Take with food,155.78,Tc399gu,2027-06-17,Mild,Pending
Viracillin10,Pfizer Inc.,2012,Antibiotic,Prevent infectious disease,"Constipation, Blurred vision, Dry mouth",310,Sublingual,Asthma,May cause drowsiness,304.18,lU851SE,2026-05-03,Mild,Pending
Loxozole64,Roche Holding AG,2000,Anti-inflammatory,Bacterial infections,"Constipation, Nausea, Insomnia",280,Oral,Asthma,May cause drowsiness,293.07,Yy817fu,2028-04-20,Severe,Rejected
Fenoprofen59,Moderna Therapeutics,2024,Vaccine,Bacterial infections,Fatigue,640,Oral,Allergic reaction,May affect fertility,172.04,jG663gM,2028-07-28,Mild,Rejected
Amoxxetine63,Bayer AG,2016,Antifungal,Viral infections,"Headache, Nausea",380,Inhalation,Asthma,Take with food,333.92,fn412FG,2027-07-01,Severe,Pending
Daxozepam21,Johnson & Johnson,2017,Antifungal,Depression treatment,"Headache, Insomnia, Blurred vision",900,Topical,Seizures,Monitor blood pressure,2.77,FS513KN,2027-02-09,Moderate,Rejected
Serocillin13,Roche Holding AG,2024,Antihistamine,Fever reduction,"Dry mouth, Headache",630,Oral,Diabetes,Do not discontinue abruptly,222.72,jc664uD,2026-06-09,Moderate,Pending
Zylozepam71,Moderna Therapeutics,1995,Anti-inflammatory,Pain relief,"Blurred vision, Fatigue",620,Inhalation,Heart disease,Use with caution in elderly,39.03,Fx851Cq,2028-06-17,Moderate,Approved
Zylozepam80,Johnson & Johnson,1997,Antifungal,Psychosis control,"Insomnia, Rash, Constipation",580,Sublingual,Seizures,May affect fertility,340.04,VZ878Jw,2028-07-08,Moderate,Approved
Daxozole39,Moderna Therapeutics,2015,Antipsychotic,Pain relief,Blurred vision,640,Topical,Heart disease,May cause drowsiness,245.05,Mu919fm,2026-11-08,Moderate,Rejected
Serodipine59,Sanofi,2001,Antidepressant,Psychosis control,"Blurred vision, Insomnia",220,Inhalation,High blood pressure,Do not discontinue abruptly,256.59,Eq510dI,2026-11-18,Severe,Approved
Rivazole30,Moderna Therapeutics,2021,Vaccine,Viral infections,"Insomnia, Diarrhea, Headache",980,Sublingual,Liver disease,Do not operate machinery,144.28,XL375dC,2025-11-23,Moderate,Pending
Rivaprofen79,GlaxoSmithKline,2021,Antipsychotic,Allergy relief,Blurred vision,780,Inhalation,Bleeding disorders,Do not discontinue abruptly,166.53,HC829Bq,2026-02-19,Mild,Approved
Zylozepam79,Sanofi,2001,Antidepressant,Viral infections,Insomnia,530,Rectal,Liver disease,Do not operate machinery,341.54,pP868PS,2028-02-10,Mild,Approved
Viracillin89,GlaxoSmithKline,2023,Antipsychotic,Fungal infections,"Rash, Insomnia",360,Oral,High blood pressure,Do not operate machinery,219.75,Kr982On,2026-05-31,Mild,Approved
Loxocillin94,Moderna Therapeutics,1997,Analgesic,Fever reduction,"Dizziness, Nausea, Fatigue",390,Topical,Kidney impairment,Do not operate machinery,167.1,Nu381Kc,2028-05-10,Mild,Approved
Daxomab18,Johnson & Johnson,1999,Anti-inflammatory,Bacterial infections,Diarrhea,740,Intravenous,Liver disease,Do not discontinue abruptly,155.1,jN609DO,2028-02-17,Severe,Pending
Mecodipine48,GlaxoSmithKline,2023,Anti-inflammatory,Fungal infections,"Dry mouth, Rash, Nausea",350,Intravenous,Pregnancy,Monitor blood pressure,487.58,tS016hI,2028-05-11,Mild,Approved
Daxovir91,GlaxoSmithKline,2019,Vaccine,Viral infections,Dizziness,650,Intramuscular,High blood pressure,May affect fertility,225.26,jL801Tq,2025-08-25,Mild,Pending
Loxocillin70,Bayer AG,2006,Vaccine,Allergy relief,"Nausea, Dizziness, Diarrhea",700,Intramuscular,Heart disease,Use with caution in elderly,15.47,EE953TA,2028-06-30,Mild,Pending
Rivaxetine71,Novartis AG,2004,Analgesic,Psychosis control,Headache,970,Oral,Heart disease,Use with caution in elderly,302.6,ZT307DD,2027-08-17,Severe,Rejected
Daxoprofen36,Merck & Co.,2015,Vaccine,Viral infections,"Headache, Constipation, Dizziness",360,Intravenous,Pregnancy,Avoid sunlight exposure,296.93,bb288yu,2026-08-25,Moderate,Rejected
Fenoxetine15,Novartis AG,1994,Antipsychotic,Pain relief,Fatigue,790,Rectal,Asthma,Do not operate machinery,365.61,Nd082Fy,2027-10-17,Moderate,Pending
Loxovir99,Merck & Co.,2018,Antidepressant,Fever reduction,"Blurred vision, Rash",980,Intramuscular,Pregnancy,Take with food,7.19,SV922Fh,2027-10-03,Severe,Approved
Seroxetine20,Bayer AG,2002,Antiviral,Inflammation reduction,"Fatigue, Diarrhea, Blurred vision",500,Rectal,Allergic reaction,Monitor blood pressure,428.86,Sa856zC,2026-05-29,Moderate,Rejected
Amoxdipine18,Bayer AG,1999,Antifungal,Bacterial infections,"Fatigue, Insomnia, Dizziness",10,Rectal,Asthma,May affect fertility,408.63,NS778ns,2028-05-17,Moderate,Approved
Amoxmab17,Pfizer Inc.,2017,Antihistamine,Fever reduction,"Nausea, Dizziness, Diarrhea",90,Inhalation,Diabetes,May affect fertility,33.69,Xh682Dk,2027-11-01,Mild,Approved
Amoxzepam62,Sanofi,1994,Antiviral,Allergy relief,"Constipation, Rash",260,Oral,Seizures,Do not discontinue abruptly,331.47,Np179DL,2027-02-12,Moderate,Approved
Rivavir98,Sanofi,2019,Antiviral,Inflammation reduction,Nausea,120,Intramuscular,High blood pressure,Do not discontinue abruptly,461.18,op152DQ,2028-03-12,Moderate,Pending
Seroprofen62,Bayer AG,2000,Antipyretic,Pain relief,"Blurred vision, Rash, Dry mouth",460,Oral,Asthma,Do not operate machinery,394.7,nc824hO,2026-07-24,Mild,Pending
Viravir80,AstraZeneca,2023,Antiviral,Psychosis control,Dizziness,170,Inhalation,Allergic reaction,Do not operate machinery,17.22,CC948uU,2026-07-31,Moderate,Pending
Viramab60,Johnson & Johnson,2010,Antifungal,Viral infections,"Insomnia, Blurred vision",970,Sublingual,Allergic reaction,Avoid alcohol,323.61,Ik518rQ,2026-03-28,Severe,Rejected
Loxocillin18,GlaxoSmithKline,1990,Antidepressant,Viral infections,Rash,910,Intramuscular,Asthma,Use with caution in elderly,122.42,Mq586Pw,2026-02-13,Severe,Rejected
Serozepam76,Sanofi,1999,Antiviral,Fungal infections,"Dizziness, Diarrhea, Dry mouth",230,Sublingual,Pregnancy,Monitor blood pressure,185.38,Fe393pD,2025-10-14,Mild,Pending
Fenovir79,Roche Holding AG,1996,Antibiotic,Inflammation reduction,"Diarrhea, Blurred vision",60,Topical,Diabetes,Risk of addiction,286.83,uG545Ft,2026-11-01,Severe,Rejected
Fenovir13,AstraZeneca,1998,Antipyretic,Depression treatment,"Fatigue, Diarrhea",740,Inhalation,Allergic reaction,Do not discontinue abruptly,298.8,Wo164eP,2028-01-30,Moderate,Approved
Virastatin46,Pfizer Inc.,2012,Anti-inflammatory,Bacterial infections,"Constipation, Nausea, Diarrhea",350,Topical,Bleeding disorders,Do not operate machinery,36.76,HL086ny,2027-01-23,Mild,Pending
Seroxetine29,Sanofi,2005,Vaccine,Pain relief,Fatigue,90,Rectal,High blood pressure,Use with caution in elderly,156.71,PR606gM,2027-11-23,Severe,Rejected
Daxoparin15,Pfizer Inc.,1990,Antipsychotic,Fungal infections,Rash,390,Inhalation,Liver disease,Use with caution in elderly,360.66,PE669MQ,2025-12-16,Mild,Rejected
Seroprofen43,GlaxoSmithKline,1996,Antiviral,Pain relief,"Headache, Nausea",240,Inhalation,Kidney impairment,Use with caution in elderly,184.68,nt774dO,2027-03-21,Severe,Approved
Serozepam38,Pfizer Inc.,2014,Antidepressant,Fungal infections,Blurred vision,150,Inhalation,High blood pressure,May cause drowsiness,104.4,Wk927Gy,2025-10-13,Moderate,Rejected
Amoxxetine21,GlaxoSmithKline,2010,Antifungal,Bacterial infections,Dry mouth,780,Rectal,Liver disease,Avoid sunlight exposure,343.93,kb039mD,2026-08-29,Moderate,Approved
Rivaxetine20,Novartis AG,2006,Antihistamine,Pain relief,"Blurred vision, Headache",690,Topical,Asthma,Do not discontinue abruptly,360.76,fu099fE,2027-05-29,Severe,Pending
Cefparin29,Bayer AG,1992,Analgesic,Fungal infections,"Insomnia, Dizziness",860,Oral,Diabetes,Avoid sunlight exposure,166.49,Ww033ag,2027-07-16,Severe,Approved
Fenodipine70,Pfizer Inc.,2010,Antibiotic,Psychosis control,"Insomnia, Dizziness",230,Intramuscular,Diabetes,Do not operate machinery,200.84,CR101dM,2028-01-20,Severe,Rejected
Virastatin74,Johnson & Johnson,2016,Antiviral,Fever reduction,Blurred vision,600,Inhalation,Bleeding disorders,May cause drowsiness,42.74,sY374ZZ,2028-06-02,Moderate,Pending
Fenozole86,Merck & Co.,1992,Antifungal,Prevent infectious disease,"Blurred vision, Constipation",910,Topical,Seizures,Monitor blood pressure,304.35,Op759uC,2027-06-23,Severe,Approved
Zylovir52,Moderna Therapeutics,1995,Antiviral,Fever reduction,"Insomnia, Fatigue",750,Intramuscular,Heart disease,Risk of addiction,438.19,QE001XH,2025-12-10,Mild,Approved
Viraparin77,Merck & Co.,2024,Vaccine,Inflammation reduction,Fatigue,760,Intravenous,Liver disease,May cause drowsiness,209.23,bS927JN,2026-08-21,Moderate,Pending
Viravir99,Novartis AG,1992,Antidepressant,Fever reduction,"Dizziness, Rash, Constipation",850,Intramuscular,Pregnancy,Avoid alcohol,250.81,Qn432uj,2026-04-14,Severe,Rejected
Serovir24,Novartis AG,2011,Antihistamine,Viral infections,Nausea,420,Sublingual,Diabetes,Do not discontinue abruptly,112.49,jl504Oe,2026-05-10,Moderate,Approved
Cefstatin53,Sanofi,2022,Vaccine,Prevent infectious disease,"Fatigue, Blurred vision, Rash",720,Rectal,Asthma,Avoid alcohol,39.2,yX844Zx,2027-03-08,Moderate,Rejected
Zylomab50,Sanofi,2010,Antiviral,Pain relief,Blurred vision,870,Intravenous,Allergic reaction,Do not operate machinery,158.54,Qi786gz,2028-02-17,Moderate,Pending
Cefdipine11,Pfizer Inc.,1996,Analgesic,Allergy relief,"Rash, Dry mouth",850,Intravenous,Pregnancy,Use with caution in elderly,133.83,aF898gb,2026-03-02,Severe,Approved
Loxoxetine84,GlaxoSmithKline,2007,Vaccine,Prevent infectious disease,"Nausea, Headache, Rash",520,Inhalation,High blood pressure,Take with food,470.14,dW364zP,2027-09-05,Mild,Approved
Fenodipine81,Novartis AG,1993,Vaccine,Psychosis control,Fatigue,850,Intramuscular,High blood pressure,Use with caution in elderly,309.25,yQ720eK,2028-03-19,Moderate,Rejected
Serostatin21,Roche Holding AG,2011,Antibiotic,Viral infections,Diarrhea,830,Oral,Heart disease,Monitor blood pressure,315.07,MV777Oh,2025-12-04,Severe,Rejected
Zylodipine53,AstraZeneca,1995,Antipsychotic,Fever reduction,"Blurred vision, Rash, Dizziness",580,Topical,Diabetes,Risk of addiction,124.46,or859Lm,2026-01-04,Severe,Approved
Rivavir63,Pfizer Inc.,2020,Antipsychotic,Psychosis control,Rash,310,Inhalation,Pregnancy,Monitor blood pressure,346.66,Qe949Ww,2026-07-01,Mild,Approved
Daxoprofen13,Novartis AG,2001,Vaccine,Allergy relief,"Dry mouth, Diarrhea, Rash",720,Intravenous,Asthma,Risk of addiction,389.86,qa722HL,2025-10-23,Severe,Rejected
Loxostatin75,Merck & Co.,1995,Antidepressant,Fungal infections,"Insomnia, Diarrhea, Constipation",380,Intravenous,Pregnancy,Take with food,322.61,AV243Ly,2027-06-01,Moderate,Rejected
Cefparin33,Novartis AG,2019,Antidepressant,Fever reduction,"Insomnia, Nausea",390,Intramuscular,Pregnancy,May affect fertility,116.57,Ho167RA,2027-05-06,Severe,Rejected
Cefzole60,Pfizer Inc.,2005,Antiviral,Depression treatment,"Constipation, Dry mouth",440,Inhalation,Liver disease,May cause drowsiness,154.93,Ao489TZ,2025-10-26,Moderate,Approved
Daxozepam88,Novartis AG,2009,Antifungal,Fungal infections,"Dry mouth, Constipation",380,Inhalation,Allergic reaction,May cause drowsiness,111.2,Yf018vY,2028-02-14,Severe,Pending
Zylomab96,Pfizer Inc.,2016,Antiviral,Depression treatment,"Diarrhea, Dry mouth",840,Rectal,Asthma,Avoid sunlight exposure,485.35,zp783ps,2028-06-19,Moderate,Approved
Rivazepam93,Novartis AG,2007,Antibiotic,Inflammation reduction,"Fatigue, Rash",870,Rectal,Asthma,May cause drowsiness,199.53,Yd899Lk,2025-08-18,Mild,Approved
Cefvir20,GlaxoSmithKline,2012,Vaccine,Inflammation reduction,"Headache, Diarrhea, Dizziness",500,Rectal,Diabetes,Risk of addiction,186.09,nS260sL,2026-06-15,Severe,Rejected
Amoxvir78,Johnson & Johnson,2021,Vaccine,Psychosis control,"Dry mouth, Headache",70,Inhalation,Liver disease,Do not discontinue abruptly,447.96,HK930Vx,2026-06-03,Moderate,Pending
Fenoprofen43,Johnson & Johnson,2017,Antipyretic,Prevent infectious disease,"Insomnia, Nausea, Dizziness",910,Inhalation,Seizures,Avoid sunlight exposure,272.61,Zj699Wp,2025-11-10,Severe,Pending
Zylocillin11,AstraZeneca,2023,Anti-inflammatory,Viral infections,"Nausea, Diarrhea, Headache",940,Intravenous,Pregnancy,Monitor blood pressure,114.83,rO916Mq,2026-12-17,Severe,Rejected
Mecoprofen20,Sanofi,1991,Antiviral,Bacterial infections,"Headache, Dizziness, Insomnia",230,Topical,Liver disease,Do not discontinue abruptly,208.88,qH289Ex,2026-03-17,Moderate,Pending
Serovir51,Roche Holding AG,1996,Vaccine,Fungal infections,"Rash, Dry mouth",500,Intravenous,Asthma,Avoid sunlight exposure,332.64,cq067aG,2027-08-01,Moderate,Pending
Loxocillin73,Johnson & Johnson,1990,Antibiotic,Fungal infections,Rash,390,Intramuscular,Liver disease,Monitor blood pressure,392.16,ij823mw,2025-12-09,Mild,Pending
Mecozole65,Merck & Co.,2005,Anti-inflammatory,Allergy relief,Dizziness,630,Sublingual,Liver disease,Risk of addiction,338.62,oF116gY,2028-03-09,Severe,Approved
Fenoxetine97,Pfizer Inc.,1991,Antidepressant,Allergy relief,"Headache, Blurred vision",530,Inhalation,Seizures,Take with food,224.55,OW996GR,2026-02-25,Moderate,Pending
Mecomab58,Bayer AG,1996,Vaccine,Psychosis control,Headache,590,Inhalation,Seizures,Risk of addiction,435.79,bm508TB,2025-11-28,Mild,Rejected
Daxovir65,Novartis AG,2008,Antidepressant,Viral infections,Blurred vision,520,Inhalation,Heart disease,May cause drowsiness,151.92,yt789Eh,2025-08-31,Mild,Rejected
Mecomab76,GlaxoSmithKline,2024,Antipsychotic,Psychosis control,Dry mouth,240,Rectal,Bleeding disorders,Do not discontinue abruptly,269.84,Je890fg,2027-01-15,Moderate,Pending
Cefcillin71,Sanofi,2020,Antipsychotic,Fever reduction,Constipation,910,Inhalation,High blood pressure,Use with caution in elderly,215.92,SI330Sv,2027-08-25,Severe,Pending
Cefdipine49,Moderna Therapeutics,1995,Antifungal,Pain relief,Blurred vision,460,Rectal,Liver disease,Risk of addiction,164.19,Rn657LZ,2028-02-02,Mild,Rejected
Serodipine73,GlaxoSmithKline,1999,Antibiotic,Bacterial infections,Diarrhea,480,Oral,High blood pressure,Risk of addiction,309.27,vl824MB,2027-05-24,Mild,Approved
Loxostatin99,Johnson & Johnson,2010,Vaccine,Allergy relief,"Rash, Headache",380,Rectal,Seizures,Do not operate machinery,246.58,YD983YZ,2027-12-14,Mild,Rejected
Amoxstatin76,Roche Holding AG,1994,Antifungal,Depression treatment,"Dizziness, Constipation",290,Oral,Pregnancy,Risk of addiction,193.23,dF402be,2026-01-14,Moderate,Rejected
Fenomab61,Moderna Therapeutics,2013,Antifungal,Fungal infections,Insomnia,850,Inhalation,Heart disease,May cause drowsiness,397.67,fs292Ed,2026-06-28,Severe,Pending
Cefparin67,Johnson & Johnson,2011,Antipyretic,Viral infections,"Dizziness, Nausea",430,Sublingual,Asthma,Take with food,393.49,IF639oJ,2026-11-08,Severe,Approved
Loxoparin29,Merck & Co.,1994,Antihistamine,Prevent infectious disease,"Rash, Constipation",570,Sublingual,Allergic reaction,Avoid alcohol,305.27,HE112pe,2028-07-27,Severe,Rejected
Daxozole67,AstraZeneca,2011,Antipyretic,Fever reduction,"Dizziness, Fatigue",550,Sublingual,Diabetes,Do not operate machinery,429.5,aG906Ms,2028-05-02,Severe,Pending
Amoxzepam69,Merck & Co.,2003,Antiviral,Depression treatment,Fatigue,10,Sublingual,Kidney impairment,Monitor blood pressure,214.72,Or902TT,2027-08-17,Mild,Approved
Daxovir48,Roche Holding AG,2023,Antipyretic,Viral infections,"Blurred vision, Nausea",10,Oral,Allergic reaction,Take with food,295.02,AC418jM,2025-11-01,Moderate,Pending
Viradipine21,AstraZeneca,2021,Anti-inflammatory,Fever reduction,"Dizziness, Diarrhea, Fatigue",640,Intramuscular,Seizures,Do not discontinue abruptly,363.03,iu439Ql,2025-09-17,Mild,Pending
Daxomab45,Bayer AG,1993,Analgesic,Bacterial infections,"Fatigue, Dizziness",430,Sublingual,Pregnancy,Take with food,390.61,ik838aX,2025-11-28,Severe,Pending
Fenostatin60,Novartis AG,2023,Antibiotic,Depression treatment,Dizziness,220,Sublingual,Allergic reaction,Take with food,52.51,fS500fV,2025-12-15,Moderate,Approved
Loxostatin22,Merck & Co.,2006,Antidepressant,Pain relief,"Fatigue, Nausea",50,Intramuscular,Diabetes,Do not operate machinery,253.71,Ka611nZ,2027-08-25,Moderate,Rejected
Daxodipine10,AstraZeneca,2006,Antipsychotic,Fever reduction,"Blurred vision, Dry mouth",40,Intravenous,Heart disease,Avoid alcohol,18.38,qn773nv,2027-11-19,Moderate,Approved
Mecomab71,Bayer AG,2024,Antibiotic,Depression treatment,Dizziness,520,Intramuscular,Liver disease,Take with food,134.46,EX764cl,2027-02-18,Mild,Approved
Loxostatin46,Sanofi,2014,Antibiotic,Depression treatment,Fatigue,220,Oral,Seizures,Do not discontinue abruptly,356.76,Mr351NL,2025-10-05,Moderate,Pending
Virazole57,Novartis AG,2005,Antipyretic,Viral infections,Insomnia,460,Intravenous,Kidney impairment,Do not operate machinery,150.44,Pi317tQ,2027-06-01,Mild,Rejected
Daxomab17,Bayer AG,2006,Antidepressant,Fungal infections,"Dizziness, Dry mouth",40,Sublingual,Kidney impairment,May affect fertility,439.15,jq171nR,2025-12-08,Severe,Pending
Cefcillin70,Merck & Co.,2018,Antihistamine,Bacterial infections,"Blurred vision, Constipation, Dizziness",630,Sublingual,Pregnancy,May affect fertility,143.66,ub341BD,2025-11-25,Severe,Rejected
Fenomab20,Johnson & Johnson,2000,Antipyretic,Fever reduction,"Constipation, Insomnia, Diarrhea",30,Intravenous,Bleeding disorders,Do not operate machinery,399.58,RE219Mv,2025-10-24,Severe,Pending
Cefprofen68,Novartis AG,1998,Antipyretic,Pain relief,"Constipation, Fatigue",640,Intramuscular,Bleeding disorders,May affect fertility,187.06,WJ649ZW,2026-06-29,Severe,Pending
Viradipine93,Merck & Co.,1998,Vaccine,Bacterial infections,"Insomnia, Dry mouth, Nausea",430,Intramuscular,Liver disease,May cause drowsiness,363.76,YD592uF,2027-12-19,Moderate,Rejected
Seroparin37,Bayer AG,2020,Antibiotic,Psychosis control,"Constipation, Fatigue",770,Sublingual,Heart disease,May cause drowsiness,189.75,JA229vj,2027-02-01,Severe,Rejected
Zyloparin56,Johnson & Johnson,2022,Anti-inflammatory,Allergy relief,Blurred vision,620,Topical,Asthma,Risk of addiction,138.46,wn704Xs,2028-07-17,Mild,Approved
Daxoprofen91,Sanofi,2017,Antiviral,Prevent infectious disease,"Dizziness, Nausea",600,Intramuscular,Kidney impairment,Take with food,121.86,lR765gZ,2028-02-24,Severe,Pending
Cefxetine57,Pfizer Inc.,1995,Antidepressant,Viral infections,"Headache, Dizziness",470,Oral,Kidney impairment,Use with caution in elderly,235.48,IR584wj,2027-10-30,Severe,Pending
Viraxetine27,Moderna Therapeutics,2012,Analgesic,Fever reduction,Constipation,50,Intravenous,High blood pressure,Avoid sunlight exposure,54.53,ww350ZD,2026-11-23,Severe,Rejected
Loxozepam97,Sanofi,2007,Antiviral,Allergy relief,Insomnia,80,Inhalation,Bleeding disorders,Risk of addiction,353.52,bx944XV,2028-04-10,Severe,Approved
Mecodipine30,AstraZeneca,2006,Analgesic,Bacterial infections,"Rash, Dry mouth",290,Oral,Liver disease,Do not operate machinery,311.25,zb847IL,2027-01-01,Mild,Approved
Mecomab38,Johnson & Johnson,2009,Antipyretic,Bacterial infections,Dizziness,160,Rectal,Bleeding disorders,Take with food,63.69,mO112Pi,2027-06-12,Mild,Rejected
Viramab24,AstraZeneca,1999,Antibiotic,Fungal infections,Fatigue,980,Oral,Diabetes,Monitor blood pressure,292.84,aK400Rx,2025-10-24,Severe,Approved
Mecoparin54,Moderna Therapeutics,2004,Vaccine,Fungal infections,"Fatigue, Insomnia, Constipation",750,Topical,Allergic reaction,Monitor blood pressure,146.23,vK543Le,2028-04-20,Severe,Rejected
Mecocillin19,Roche Holding AG,1992,Anti-inflammatory,Fungal infections,"Dizziness, Diarrhea",930,Rectal,Asthma,May cause drowsiness,219.31,Gl652ep,2027-11-16,Moderate,Approved
Rivaxetine67,Novartis AG,1990,Antihistamine,Bacterial infections,"Blurred vision, Constipation",770,Rectal,High blood pressure,Avoid alcohol,117.31,Dt835vk,2028-06-20,Mild,Rejected
Cefcillin82,Merck & Co.,2005,Antifungal,Prevent infectious disease,"Headache, Diarrhea",390,Intravenous,Asthma,Risk of addiction,46.69,eU289Un,2026-06-21,Mild,Rejected
Daxovir60,Novartis AG,2009,Vaccine,Depression treatment,"Diarrhea, Headache, Blurred vision",240,Sublingual,Pregnancy,May cause drowsiness,480.78,iD307kM,2025-10-04,Moderate,Approved
Daxoparin77,Sanofi,2003,Analgesic,Allergy relief,"Blurred vision, Dizziness, Headache",460,Intramuscular,Seizures,May affect fertility,292.87,wZ490Qa,2027-10-25,Severe,Approved
Seroparin88,Pfizer Inc.,1990,Antifungal,Prevent infectious disease,Fatigue,400,Topical,Diabetes,Avoid alcohol,315.38,mV331IH,2025-09-16,Mild,Pending
Loxozole95,AstraZeneca,1997,Anti-inflammatory,Viral infections,Constipation,840,Oral,Liver disease,May cause drowsiness,25.35,Vp656Pb,2027-11-17,Severe,Pending
Zyloparin40,GlaxoSmithKline,2004,Analgesic,Inflammation reduction,"Fatigue, Diarrhea",590,Intravenous,Seizures,May cause drowsiness,173.66,Cm531Qv,2027-12-28,Mild,Approved
Loxostatin74,Sanofi,2021,Antidepressant,Psychosis control,"Diarrhea, Constipation",820,Intravenous,Heart disease,Avoid alcohol,346.86,Fi236Jp,2026-05-22,Severe,Pending
Fenomab23,Novartis AG,2017,Antipyretic,Fever reduction,Blurred vision,890,Topical,Heart disease,Do not discontinue abruptly,246.21,PY007zK,2027-02-12,Severe,Approved
Zylodipine24,Sanofi,2020,Analgesic,Prevent infectious disease,"Nausea, Headache",630,Topical,Bleeding disorders,Avoid alcohol,232.81,nB000sP,2027-08-25,Moderate,Rejected
Loxomab51,Moderna Therapeutics,2018,Anti-inflammatory,Fungal infections,"Headache, Constipation",990,Sublingual,Heart disease,May cause drowsiness,14.85,fX534Rd,2026-10-16,Moderate,Pending
Daxoxetine71,Johnson & Johnson,2001,Antipyretic,Fever reduction,"Diarrhea, Insomnia, Fatigue",160,Sublingual,Asthma,Monitor blood pressure,498.68,bL265hp,2028-02-09,Moderate,Rejected
Amoxxetine33,Bayer AG,2022,Antipyretic,Allergy relief,"Nausea, Constipation",360,Oral,Diabetes,Risk of addiction,166.07,gx885bO,2025-12-22,Moderate,Approved
Fenoprofen19,Roche Holding AG,2002,Antidepressant,Depression treatment,"Insomnia, Dizziness, Rash",160,Rectal,Seizures,Avoid sunlight exposure,54.11,Er602VL,2028-05-24,Mild,Rejected
Amoxstatin15,Johnson & Johnson,1996,Antihistamine,Fungal infections,Diarrhea,780,Intravenous,Asthma,May cause drowsiness,348.83,XD312RG,2026-08-16,Severe,Approved
Zylodipine39,Moderna Therapeutics,1992,Antihistamine,Depression treatment,"Constipation, Diarrhea",140,Inhalation,Allergic reaction,Do not discontinue abruptly,290.37,po625ZS,2025-11-03,Mild,Rejected
Rivavir31,Pfizer Inc.,1998,Anti-inflammatory,Prevent infectious disease,Constipation,790,Rectal,Allergic reaction,Avoid sunlight exposure,120.11,Cq042ni,2026-07-04,Severe,Pending
Loxoprofen13,Moderna Therapeutics,2004,Antidepressant,Fungal infections,"Dry mouth, Headache, Fatigue",930,Intravenous,Heart disease,May affect fertility,392.26,vP365YQ,2026-07-26,Moderate,Approved
Fenovir60,Johnson & Johnson,1994,Antihistamine,Fever reduction,Blurred vision,50,Rectal,Diabetes,Monitor blood pressure,238.93,RB421av,2027-01-20,Severe,Pending
Rivazepam79,Sanofi,2017,Anti-inflammatory,Bacterial infections,"Dry mouth, Nausea, Fatigue",580,Topical,Kidney impairment,Do not discontinue abruptly,114.34,Yu551cY,2027-01-01,Severe,Approved
Cefxetine52,Novartis AG,2009,Vaccine,Viral infections,"Insomnia, Rash, Diarrhea",880,Topical,Diabetes,Do not discontinue abruptly,127.56,iW848Pq,2027-12-03,Mild,Pending
Zyloxetine70,Bayer AG,2012,Antihistamine,Bacterial infections,"Diarrhea, Insomnia",390,Sublingual,High blood pressure,May cause drowsiness,362.38,AI784Tl,2026-04-15,Severe,Pending
Zylocillin93,Merck & Co.,2020,Antipyretic,Depression treatment,"Blurred vision, Headache, Nausea",850,Intramuscular,Heart disease,Monitor blood pressure,462.29,Qr143HR,2026-09-27,Mild,Approved
Fenozole99,Pfizer Inc.,2003,Antipsychotic,Prevent infectious disease,Diarrhea,780,Inhalation,Heart disease,Avoid alcohol,45.69,Le407Qy,2026-07-18,Mild,Rejected
Amoxxetine90,Pfizer Inc.,1992,Antiviral,Bacterial infections,"Dry mouth, Fatigue, Constipation",390,Intramuscular,Heart disease,Take with food,188.27,Nk708ES,2026-03-29,Severe,Pending
